Timestamp,Temperature,External_Temp,Humidity,CO2,Ammonia,Pressure,Power_OK,Sensor_ID
2025-04-20 21:26:24,24.4,25.2,58.7,801,10.1,25.9,true,ARRAY001
2025-04-20 21:27:24,25.5,25.7,60.2,764,10.7,24.6,true,ARRAY001
2025-04-20 21:28:24,25.3,25.4,62.9,789,10.5,24.9,true,ARRAY001
2025-04-20 21:30:24,24.5,24.3,63.3,820,10.6,22.0,true,ARRAY001
2025-04-20 21:31:24,24.0,24.7,63.2,835,9.8,22.0,true,ARRAY001
2025-04-20 21:32:24,24.5,24.4,61.7,806,9.0,22.5,true,ARRAY001
2025-04-20 21:35:20,25.5,25.2,62.0,720,10.4,24.0,true,ARRAY001
2025-04-20 21:37:20,25.3,24.6,64.1,708,10.7,22.9,true,ARRAY001
2025-04-20 21:39:20,25.5,25.1,62.9,743,10.8,25.7,true,ARRAY001
2025-04-20 21:40:20,24.8,25.1,61.3,702,11.4,25.6,true,ARRAY001
2025-04-20 21:41:20,25.2,24.5,63.7,685,11.6,26.0,true,ARRAY001
2025-04-20 21:42:20,24.3,24.5,63.2,724,11.1,25.0,true,ARRAY001
2025-04-20 21:44:20,24.1,23.6,63.7,686,10.0,25.4,true,ARRAY001
2025-04-20 21:45:20,23.0,22.8,65.4,739,10.9,24.7,true,ARRAY001
2025-04-20 21:50:12,24.8,25.6,61.0,778,9.9,25.8,true,ARRAY001
2025-04-20 21:50:58,24.7,24.8,58.7,781,9.2,25.6,true,ARRAY001
2025-04-20 21:51:58,24.0,24.0,60.0,805,9.1,25.4,true,ARRAY001
2025-04-20 21:52:58,23.8,24.4,60.4,753,8.7,23.8,true,ARRAY001
2025-04-20 21:53:58,24.3,24.3,61.3,739,9.5,22.5,true,ARRAY001
2025-04-20 21:54:58,24.1,24.4,63.0,747,9.5,23.9,true,ARRAY001
2025-04-20 21:58:22,25.2,25.5,59.6,783,10.2,23.9,true,ARRAY001
2025-04-20 22:26:53,24.3,24.2,59.6,794,9.8,24.0,true,ARRAY001
2025-04-20 22:29:18,24.2,24.9,59.4,838,9.8,23.0,true,ARRAY001
2025-04-20 22:30:21,24.8,25.3,60.4,836,10.3,23.1,true,ARRAY001
2025-04-20 22:31:24,24.9,24.8,58.6,876,10.4,23.8,true,ARRAY001
2025-04-20 22:32:27,24.3,24.7,59.1,838,10.5,22.5,true,ARRAY001
